source,channel,bin_left,bin_right,count
rgb_0_1,R,0.0,0.0013333333190530539,64961
rgb_0_1,R,0.0013333333190530539,0.0026666666381061077,0
rgb_0_1,R,0.0026666666381061077,0.004000000189989805,79218
rgb_0_1,R,0.004000000189989805,0.005333333276212215,0
rgb_0_1,R,0.005333333276212215,0.006666666828095913,0
rgb_0_1,R,0.006666666828095913,0.00800000037997961,33416
rgb_0_1,R,0.00800000037997961,0.009333333000540733,0
rgb_0_1,R,0.009333333000540733,0.01066666655242443,0
rgb_0_1,R,0.01066666655242443,0.012000000104308128,29892
rgb_0_1,R,0.012000000104308128,0.013333333656191826,0
rgb_0_1,R,0.013333333656191826,0.014666666276752949,0
rgb_0_1,R,0.014666666276752949,0.01600000075995922,29137
rgb_0_1,R,0.01600000075995922,0.01733333244919777,0
rgb_0_1,R,0.01733333244919777,0.018666666001081467,0
rgb_0_1,R,0.018666666001081467,0.019999999552965164,27775
rgb_0_1,R,0.019999999552965164,0.02133333310484886,0
rgb_0_1,R,0.02133333310484886,0.02266666665673256,0
rgb_0_1,R,0.02266666665673256,0.024000000208616257,23275
rgb_0_1,R,0.024000000208616257,0.025333333760499954,0
rgb_0_1,R,0.025333333760499954,0.02666666731238365,0
rgb_0_1,R,0.02666666731238365,0.02800000086426735,20132
rgb_0_1,R,0.02800000086426735,0.029333332553505898,0
rgb_0_1,R,0.029333332553505898,0.030666666105389595,0
rgb_0_1,R,0.030666666105389595,0.03200000151991844,23732
rgb_0_1,R,0.03200000151991844,0.03333333507180214,0
rgb_0_1,R,0.03333333507180214,0.03466666489839554,0
rgb_0_1,R,0.03466666489839554,0.035999998450279236,30744
rgb_0_1,R,0.035999998450279236,0.03733333200216293,0
rgb_0_1,R,0.03733333200216293,0.03866666555404663,0
rgb_0_1,R,0.03866666555404663,0.03999999910593033,30641
rgb_0_1,R,0.03999999910593033,0.041333332657814026,0
rgb_0_1,R,0.041333332657814026,0.04266666620969772,0
rgb_0_1,R,0.04266666620969772,0.04399999976158142,24311
rgb_0_1,R,0.04399999976158142,0.04533333331346512,0
rgb_0_1,R,0.04533333331346512,0.046666666865348816,0
rgb_0_1,R,0.046666666865348816,0.04800000041723251,16722
rgb_0_1,R,0.04800000041723251,0.04933333396911621,0
rgb_0_1,R,0.04933333396911621,0.05066666752099991,0
rgb_0_1,R,0.05066666752099991,0.052000001072883606,11342
rgb_0_1,R,0.052000001072883606,0.0533333346247673,0
rgb_0_1,R,0.0533333346247673,0.054666668176651,0
rgb_0_1,R,0.054666668176651,0.0560000017285347,8253
rgb_0_1,R,0.0560000017285347,0.0573333315551281,0
rgb_0_1,R,0.0573333315551281,0.058666665107011795,0
rgb_0_1,R,0.058666665107011795,0.05999999865889549,7111
rgb_0_1,R,0.05999999865889549,0.06133333221077919,0
rgb_0_1,R,0.06133333221077919,0.06266666948795319,0
rgb_0_1,R,0.06266666948795319,0.06400000303983688,6735
rgb_0_1,R,0.06400000303983688,0.06533333659172058,0
rgb_0_1,R,0.06533333659172058,0.06666667014360428,0
rgb_0_1,R,0.06666667014360428,0.06800000369548798,5796
rgb_0_1,R,0.06800000369548798,0.06933332979679108,0
rgb_0_1,R,0.06933332979679108,0.07066666334867477,4791
rgb_0_1,R,0.07066666334867477,0.07199999690055847,0
rgb_0_1,R,0.07199999690055847,0.07333333045244217,0
rgb_0_1,R,0.07333333045244217,0.07466666400432587,3592
rgb_0_1,R,0.07466666400432587,0.07599999755620956,0
rgb_0_1,R,0.07599999755620956,0.07733333110809326,0
